"martiniBC","conso martini blanc","conso","2000.0",325,"1.0","martiniB","0.06",,,,,,,,
"filetPoissons","plat filet de poisson","cuisine","4000.0",1763,"1.0","poisson","1.0",,,,,,,,
"rizCanto","riz cantonais","cuisine","1000.0",348,"2.0","riz","1.0","oeuf","3.0",,,,,,
"agavitaC","conso de bout agavita","conso","2500.0",378,"1.0","agavita","0.07",,,,,,,,
"willC","conso bout de william","conso","2500.0",384,"1.0","will","0.07",,,,,,,,
"tripleSecC","conso de triple sec","conso","2500.0",214,"1.0","tripleSec","0.07",,,,,,,,
"champagneV","une coupe de champagne","conso","10000.0",3333,"1.0","lagaBrutRes","0.2",,,,,,,,
"stadeAmitie","cocktail stade d'amitié","cocktail","3500.0",1309,"4.0","gordons","0.07","stoli","0.07","malibu","0.07","sirop1L","0.05",,
"sauceCreme","sauceCreme","cuisine","4000.0",592,"1.0","blancPoulet","1.0",,,,,,,,
"sanjoseSC","conso de sanjose","conso","2000.0",595,"1.0","sanjoseS","0.07",,,,,,,,
"dapaong","cocktail dapaong","cocktail","4000.0",1172,"4.0","stJamesB","0.05","stJamesR","0.05","sirop1L","0.1","tripleSec","0.07",,
"emincePoul","emincé de poulet","cuisine","4000.0",592,"1.0","blancPoulet","1.0",,,,,,,,
"soupePoisson","soupe de poisson","cuisine","4000.0",1763,"1.0","poisson","1.0",,,,,,,,
"stJamesBC","conso st james Blanc","conso","2500.0",452,"1.0","stJamesB","0.06",,,,,,,,
"stJamesRC","conso saint James","conso","2500.0",421,"1.0","stJamesR","0.06",,,,,,,,
"sandwPoulet","sandwich de poulet","cuisine","2000.0",496,"2.0","painSandw","1.0","blancPoulet","0.5",,,,,,
"emincePoule","emincé de poulet","cuisine","4000.0",592,"1.0","blancPoulet","1.0",,,,,,,,
"escalopepoulet","escalope de poulet","cuisine","4000.0",592,"1.0","blancPoulet","1.0",,,,,,,,
"petitPois*","plat de petit pois","cuisine","2000.0",1742,"2.0","petitPois","1.0","filetBoeuf","1.0",,,,,,
"bePinkPack","4 cannettes de vin Rosé","vinRosé","7500.0",3988,"1.0","bePink","4.0",,,,,,,,
"pateBlanche","portion de pate blanche","cuisine","1000.0",174,"1.0","farinePateBlanche","1.0",,,,,,,,
"sauceCrinCrin","sauce crincrin","cuisine","5000.0",1182,"5.0","agbama","1.0","poissonFume","1.0","crabe","1.0","agneauOs","0.5","wangache","1.0"
"tBlancC","conso tequila blanco","diversAlcool","2500.0",378,"1.0","agavita","0.07",,,,,,,,
"sandwichTGV","sandwich TGV","cuisine","2500.0",1500,"3.0","painSandw","1.0","filetBoeuf","0.5","fromage","2.0",,,,
"miniBroMergez","mini brochette mergez","cuisine","2000.0",600,"1.0","merguez","1.0",,,,,,,,
"steakChamp","steak au champignon","cuisine","4000.0",1084,"1.0","filetBoeuf","1.0",,,,,,,,
"jbC","jb conso","conso","3000.0",480,"1.0","jb","0.08",,,,,,,,
"orangeSecC","conso orange Sec","conso","3000.0",307,"1.0","orangeSec","0.07",,,,,,,,
"purePomme","purée de pomme","cuisine","1000.0",120,"1.0","pommeKG","0.5",,,,,,,,
"choucPoule","choucouyta de poulet","cuisine","2500.0",592,"1.0","blancPoulet","1.0",,,,,,,,
"sandwSteak","sandwich steak","cuisine","2500.0",1277,"4.0","filetBoeuf","0.5","painSandw","1.0","mais300G","1.0","fromage","1.0",,
"cuissPoulet","cuisse de poulet","cuisine","4000.0",900,"1.0","pouletCuisse","1.0",,,,,,,,
"sauceArachide","sauce arachide","cuisine","5000.0",1040,"4.0","wangache","1.0","agneauOs","0.5","poissonFume","1.0","crabe","1.0",,
"vinRouge1V","une coupe de chret rouge","vinRouge","5000.0",810,"1.0","chretR","0.25",,,,,,,,
"soupeBoyau","soupe de boyau","cuisine","5000.0",1191,"2.0","boyau","1.0","painSandw","0.5",,,,,,
"petitPois1","plat petit pois","cuisine","1000.0",541,"2.0","petitPois","0.67","painSandw","0.5",,,,,,
"rizCantonais","riz cantonai","cuisine","10000.0",265,"2.0","riz","1.0","oeuf","2.0",,,,,,
"gingerShort","une short de gingmbre","conso","500.0",75,"1.0","sGinger1L","0.05",,,,,,,,
"sauceGombo","sauce de gombo","cuisine","5000.0",1040,"4.0","crabe","1.0","wangache","1.0","poissonFume","1.0","agneauOs","0.5",,
"cointreauC","conso cointreau","diversAlcool","2500.0",985,"1.0","cointreau","0.08",,,,,,,,
"pateRougeB","pate rouge","cuisine","1000.0",174,"1.0","farinePateBlanche","1.0",,,,,,,,
"beignetCrevet","Beignets crevette, de ","cuisine","4000.0",2384,"3.0","crevette","1.0","farineBle","1.0","oeuf","1.0",,,,
"filetPoissonSc","filet poisson sauce creme","cuisine","5000.0",1763,"1.0","poisson","1.0",,,,,,,,
"eminceBoeufSc","emince boeuf sauce creme","cuisine","5000.0",1084,"1.0","filetBoeuf","1.0",,,,,,,,
"tgv2","cocktail tgv2","cocktail","4000.0",1516,"3.0","agavita","0.07","Get27","0.06","stoli","0.08",,,,
"grdMarnierC","conso grand marnier","conso","5000.0",2178,"1.0","grdMarnier","0.2",,,,,,,,
"saladeCompo","salade compose","cuisine","6000.0",2919,"5.0","crevette","1.0","blancPoulet","0.5","oeuf","1.0","mais300G","1.0","pommeKG","1.0"
"trioBroPoisson","trio brochette de poisson","cuisine","7500.0",3051,"1.0","darnePoisson","1.5",,,,,,,,
"dimpleC","conso aller retour de bouteille de Dimple","whisky","60000.0",2392,"1.0","dimple","0.11",,,,,,,,
