DONNÉES;data2

Wed 13 Jan 2021

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;MIN;STOCK;PA;;PV

BIÈRE
haieVive;cocktail haie vive;V;3500;tripleSec;0,07;grdMarnier;0,07;orangeSec;0,07
malibuOrange;cocktail malibu avec du jus;V;3000;jus1L;0,2;malibu;0,07
mojitoClassic;cocktail mojito classic;V;3500;sucreCan;0,04;kamel;0,1;spriteP;0,11
mojitoParf;cocktail de mojito parfumé;V;3000;sucreCan;0,04;kamel;0,1;spriteP;0,11
mojitoVierge;mojito sans alcool;V;2500;sucreCan;0,04;spriteP;0,2
pinkMiami;1 cocktail pinkmiami;V;2500;jus1L;0,05;sirop1L;0,15
planB;coctail plan B;V;6000;agavita;0,07;gordons;0,07;stoli;0,07
planteur;cocktail planteur;V;2500;sirop1L;0,2;jus1L;0,05
punchCaraib;cocktail punch caraibénne;V;2500;jus1L;0,2;sirop1L;0,1
quartierJac;cocktail quartier Jac;V;3000;agavita;0,07;sirop1L;0,14
sexAple;cocktail sex apple;V;2500;jus1L;0,25
stadeAmitie;cocktail stade d'amitié;V;3500;gordons;0,07;stoli;0,07;malibu;0,07
tgv1;cocktail tgv1;V;3000;agavita;0,07;gordons;0,07;stoli;0,07
tgv2;cocktail tgv2;V;4000;agavita;0,07;get27;0,06;stoli;0,08
tgv3;tequila, grenatdine, vodka;V;3000;stoli;0,07;sirop1L;0,03;agavita;0,07
tgvNA;cocktail TGV non alcoolisé;V;2500;sTamarin;0,5;sGinger1L;0,05
tgvRoyal;cocktail tgv royal;V;8000;cremAlsM;0,07;stoli;0,07
toiMoi;cocktail toi et moi;V;3500;stRemyVSOP;0,07;sirop1L;0,1;sGinger1L;0,05
tropical;cocktal NA tropical;V;2500;jus1L;0,2
tvg1;cocktail tgv1;V;3000;pachuca;0,07;gordons;0,07;stoli;0,07

CONSO
absentaC;1 conso de absenta;V;2000;absenta;0,07
agavitaC;conso de bout agavita;V;2500;agavita;0,07
baileysC;1 conso de baileys;V;2500;baileys;0,07
blackLabC;conso black label 0.7L;V;4000;blackLab;0,08
campariC;1/16 de campari 1L;V;2500;campari;0,06
champagneV;une coupe de champagne;V;10000;lagaBrutRes;0,2
chivas12-1C;conso chivas12 1L;V;3500;chivas12-1;0,06
chivas12C;conso chivas12 0.7L;V;3500;chivas12;0,08
gingerC;un verre de gingembre dilué;V;1000;sGinger1L;0,05
gingerShort;une short de gingmbre;V;500;sGinger1L;0,05
glenB12C;conso glenfiddich 12 ans ;V;5000;glenB12L;0,08
gordonsC;1 conso de gordons;V;2500;gordons;0,08
grdMarnierC;conso grand marnier;V;5000;grdMarnier;0,2
hennessyVSC;1 conso hennessy vs;V;5000;hennessyVS;0,11
jackC;1 conso de jack daniels;V;3000;jack;0,08
