ARTICLES;data6

Sat 12 Jun 2021

CODE;DÉSIGNATION;STOCK_MIN;STOCK;EN VENTE;PA;PV

BIÈRE
carilloR;bouteille de vin rouge carillonade;0;0;V;0;25000
chastMerl;chastagnac merlot;0;0;V;3040;15000
chastR;chastagnac  cabernet sauvignon;0;0;V;0;15000
chatBelAir;chateau Bel Air;0;0;V;0;25000
chatCol;bout chateau colombier rouge;0;1;V;4500;25000
chatFer;bout chateau ferrande rouge;0;0;V;0;20000
chatFerboy;chateau Ferboy;0;0;V;0;15000
chatGrandJardin;vin rouge chat grand jardin;0;0;V;0;20000
chatHautRoulet;chateau Haut Roulet;0;0;V;0;20000
chatMarl;bouteille chateau marlene;0;7;V;3300;12000
chatMartin;bout chateau martin rouge;0;0;V;0;20000
chatMoinesMen;chateau moines menodin;0;1;V;3750;20000
chateauLary;chateau lary;0;0;V;0;20000
chevalierLand;chevalier Landerac bx sup;0;9;V;4845;20000
chretMerl;bout chretienne merlot rouge;0;3;V;3585;0
chretR;bout chretienne rouge;0;55;V;3658;15000
fiolePap;bout fiole pape rouge;0;1;V;17808;40000
gPalais;bout grand palais rouge;0;3;V;6500;0
gPuch;bout grand puch rouge;0;3;V;6500;0
grandNoir;bout le grd noir ;0;3;V;6500;25000
hMedoc;bout le haut medoc rouge;0;0;V;0;20000
haussCabS;haussmann cabernet sauvignon;0;1;V;3583;15000
haussCabSauv;haussmann cabernet sauvignon;0;1;V;2965;20000
haussMerl;haussmann merlot rouge;0;1;V;4267;15000
haussR;bout haussmann rouge;0;0;V;0;20000
leBellevue;Le Belleue;0;0;V;0;12000
loireMarchaisCa;Cabernet Loire Marchais;0;0;V;0;12000
luisEsR;bout luis eschenauer rouge;0;0;V;0;0
magnumRempVir;magnum les remparts du Virou;0;0;V;0;45000
malesan;bout malesan bordeau rouge;0;3;V;3500;0
marBois;bout marquis bois rouge;0;0;V;0;0
marsanR;bout chateau marsan rouge;0;0;V;0;0
mazMerl;bout roche mazet merlot rouge;0;0;V;0;0
