DONNÉES,baseC

Sat 04 Jul 2020

ARTICLES INVENTORIÉS
CODE,DÉSIGNATION,,PV,MIN

BIÈRE
haussCabSauv,haussmann cabernet sauvignon,V,15000,0
haussMerl,haussmann merlot rouge,V,15000,0
haussR,bout haussmann rouge,V,0,0
leBellevue,Le Belleue,V,12000,0
loireMarchaisCab,Loire Marchais Cabernet Franc,V,12000,0
luisEsR,bout luis eschenauer rouge,V,0,0
magnumRempVir,magnum les remparts du Virou,V,45000,0
malesan,bout malesan bordeau rouge,V,0,0
marBois,bout marquis bois rouge,V,0,0
marsanR,bout chateau marsan rouge,V,0,0
mazMerl,bout roche mazet merlot rouge,V,0,0
mazSauv,bout roche mazet sauv rouge,V,0,0
monsBord,bout monsieur bordeaux rouge,V,0,0
monsBordSup,monsieur de bordeau superieur,V,25000,0
moutCadNor,bout mouton cadet normal rouge,V,20000,0
moutCadRes,bout mouton cadet reserve,V,0,0
noirMerl,bout le grd noir merlot rouge,V,25000,0
oustric,bout domaine oustric rouge,V,0,0
picnicR,vin rouge picnic,V,12000,0
puissantEleg,puissant et elegant cabSauv,V,15000,0
rempVirou,remparts du virou,V,25000,0
rocheMazR,bout roche mazet rouge,V,0,0
sagesse,bout sagesse rouge,V,0,0
seigneurieEnclos,seigneurie de l'enclos 2015,V,20000,0
taraniR,bout tarani rouge,V,15000,0

WHISKY
aber,bout aberlour ,V,0,0
ben,bout benriach,V,0,0
blackLab,bout black label 70 cl ,V,40000,0
blackLab1,bout black label 1L,V,0,0
cardhu,bout cardhu,V,60000,0
chivas12,bout chivas 12 ans 70cl,V,0,0
chivas12-1,bout chivas 12 ans 1L,V,0,0
chivas18,bout chivas 18 ans 70cl,V,0,0
chivas18-1,bout chivas 18 ans 1L,V,0,0
chivasEx,bout chivas extra 70cl,V,0,0
dimple,bou dimple,V,0,0
doubleB1,bout double black 1L,V,0,0
doubleBlack,bout double black 70cl,V,0,0
glenB12,bout glenfiddich blanc 12 ans 70cl,V,0,0
glenB12L,glenfiddich 12 ans un litre,V,80000,0
glenRo15,bout glenfiddich rosé 15 ans 70cl,V,0,0
glenRo18,bout glenfiddich rosé 18 ans 70cl,V,0,0
glenlivet,bout glenlivet 70cl,V,0,0
goldBar,bout gold bar 70cl,V,0,0
goldLab,bout gold label 70cl,V,0,0
jack,bout jack daniel 70cl,V,30000,0
jack1,bout jack daniel 1L,V,0,0
jackBar,bout jack barrel 70cl,V,0,0
jackGent,bout jack gentleman 70cl,V,0,0
jackHo,bout jack honey 70cl,V,30000,0
jackSilv,bout jack silver 70cl,V,0,0
jb,bout jb 70cl,V,0,0
jbRes,bout de jb réserve 15 ans,V,60000,0
redLab70,bout red label 70cl,V,0,0
redLab75,red label 0.75 L,V,30000,0
single,bout singleton 75cl,V,0,0
will,bout williams lawson 70cl,V,0,0

ÉNERGÉTIQUE
BlackColaEnergy,black cola Energy drink,V,2000,0
atomic,atomic 33cl,V,2000,0
power,black power ,V,2000,0
redBull,red bull 33cl,V,2000,0
rox,rox 33cl,V,2000,0
speedEnergy,speed energy,V,2000,0
xxl,xxl 33cl,V,2000,0
