DONNÉES;data6T

Wed 16 Jun 2021

CATÉGORIES
bière
boissonChaude
champagne
chicha
cigare
cocktail
cognac
conso
cuisine
diversAlcool
eau
gadgetsEvent
jus
lait
sirop
soda
verreCasse
vinBlanc
vinMousseux
vinRosé
vinRouge
whisky
énergétique

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;STOCK MIN;PA;;PV
jourSpB;bout journée spéciale blanc;0;0;V;0
jourSpRo;bout journée spéciale rosée;0;2833;V;12000
jpB;bout jp chenet blanc;0;3929;V;20000
jpRo;bout jp chenet rosé;0;3709;V;20000
musca;bout muscador mousseux;0;0;V;0
martiPeRo;bout martini pétillant rosé;0;5400;V;20000
celeneCRBrut;bouteil de vin mouseux;0;0;V;35000
prosecco;bouteil de vin mousseux;0;0;V;35000
coolR;bouteille de vin mousseux;0;0;V;15000
jpRo1.5;jp chenet rosé 1.5 L;0;0;V;30000

VINROSÉ
chastSyRo;bout chastagnac syrah rosé;0;0;V;0
rocheMazRo;bout roche mazet rosé;0;0;V;0
taraniRo;bout tarani rosé;0;3551;V;15000
calend;bout les calendières vin rosé;0;0;V;0
bePink;cannette de vin rosé Be Pink;0;0;V;2500
monsBordRo;monsieur Bordeaux rosé;0;5250;V;20000
haussSyRo;haussmann Syrah Rosé;0;2965;V;15000

VINROUGE
bordEru;bout bordeaux sup eru rouge;0;9200;V;0
calvetRes;bout calvet grde reserve rouge;0;6300;V;0
chatCol;bout chateau colombier rouge;0;4500;V;25000
chatFer;bout chateau ferrande rouge;0;0;V;20000
chatMartin;bout chateau martin rouge;0;0;V;20000
marsanR;bout chateau marsan rouge;0;0;V;0
baumeR;bout domaine de la baume rouge;0;0;V;30000
oustric;bout domaine oustric rouge;0;5000;V;0
fiolePap;bout fiole pape rouge;0;17808;V;40000
gPalais;bout grand palais rouge;0;6500;V;0
gPuch;bout grand puch rouge;0;6500;V;0
haussR;bout haussmann rouge;0;0;V;20000
balast;bout haut balastard rouge;0;3500;V;0
chretR;bout chretienne rouge;0;3658;V;15000
chretMerl;bout chretienne merlot rouge;0;3585;V;0
grandNoir;bout le grd noir ;0;6500;V;25000
noirMerl;bout le grd noir merlot rouge;0;6500;V;25000
hMedoc;bout le haut medoc rouge;0;0;V;20000
luisEsR;bout luis eschenauer rouge;0;0;V;0
bouey;bout maison bouey rouge;0;9000;V;30000
malesan;bout malesan bordeau rouge;0;3500;V;0
monsBord;bout monsieur bordeaux rouge;0;0;V;0
moutCadRes;bout mouton cadet reserve;0;10917;V;0
moutCadNor;bout mouton cadet normal rouge;0;0;V;20000
sagesse;bout sagesse rouge;0;0;V;30000
rocheMazR;bout roche mazet rouge;0;2972;V;15000
mazMerl;bout roche mazet merlot rouge;0;0;V;0
mazSauv;bout roche mazet sauv rouge;0;0;V;0
marBois;bout marquis bois rouge;0;0;V;0
armEmil;bout A-R st emilion rouge;0;0;V;0
taraniR;bout tarani rouge;0;3610;V;15000
chastR;chastagnac  cabernet sauvignon;0;0;V;15000
chastMerl;chastagnac merlot;0;3040;V;15000
haussMerl;haussmann merlot rouge;0;4267;V;15000
haussCabS;haussmann cabernet sauvignon;0;3583;V;15000
chatMarl;bouteille chateau marlene;0;3300;V;12000
picnicR;vin rouge picnic;0;0;V;12000
alexanderGreat;vin rouge alexander the great;0;3667;V;15000
chatFerboy;chateau Ferboy;0;0;V;15000
seigneurieEnclo;seigneurie de l'enclos 2015;0;5917;V;20000
cadiot;cadiot 2016;0;6917;V;30000
leBellevue;Le Belleue;0;0;V;12000
loireMarchaisCa;Cabernet Loire Marchais;0;0;V;12000
chevalierLand;chevalier Landerac bx sup;0;4845;V;20000
puissantEleg;puissant et elegant cabSauv;0;3183;V;15000
monsBordSup;monsieur de bordeau superieur;0;6675;V;25000
chatMoinesMen;chateau moines menodin;0;3750;V;20000
haussCabSauv;haussmann cabernet sauvignon;0;2965;V;20000
chatGrandJardin;vin rouge chat grand jardin;0;0;V;20000
carilloR;bouteille de vin rouge carillonade;0;0;V;25000
rempVirou;remparts du virou;0;0;V;25000
magnumRempVir;magnum les remparts du Virou;0;0;V;45000
chatBelAir;chateau Bel Air;0;0;V;25000
chatHautRoulet;chateau Haut Roulet;0;0;V;20000
chateauLary;chateau lary;0;0;V;20000

WHISKY
aber;bout aberlour ;0;22000;V;0
ben;bout benriach;0;0;V;0
blackLab;bout black label 70 cl ;0;14950;V;40000
blackLab1;bout black label 1L;0;0;V;55000
cardhu;bout cardhu;0;21120;V;60000
chivas12;bout chivas 12 ans 70cl;0;13123;V;40000
chivas12-1;bout chivas 12 ans 1L;0;17389;V;45000
chivasEx;bout chivas extra 70cl;0;27000;V;0
chivas18;bout chivas 18 ans 70cl;0;0;V;45000
chivas18-1;bout chivas 18 ans 1L;0;43000;V;70000
dimple;bouteille dimple;0;0;V;60000
doubleBlack;bout double black 70cl;0;29700;V;80000
doubleB1;bout double black 1L;0;0;V;0
glenB12;bout glenf. blanc 12 ans 70cl;0;18721;V;60000
glenRo15;bout glenf. rosé 15 ans 70cl;0;18000;V;0
glenRo18;bout glenf. rosé 18 ans 70cl;0;32942;V;80000
goldBar;bout gold bar 70cl;0;0;V;80000
goldLab;bout gold label 70cl;0;34825;V;100000
jackBar;bout jack barrel 70cl;0;10833;V;60000
jackHo;bout jack honey 70cl;0;12760;V;40000
jack;bout jack daniel 70cl;0;10982;V;40000
jack1;bout jack daniel 1L;0;16500;V;0
jackGent;bout jack gentleman 70cl;0;0;V;0
jackSilv;bout jack silver 70cl;0;0;V;0
jb;bout jb 70cl;0;6570;V;30000
redLab70;bout red label 70cl;0;0;V;0
single;bout singleton 75cl;0;0;V;0
glenlivet;bout glenlivet 70cl;0;50000;V;0
will;bout williams lawson 70cl;0;5456;V;30000
jbRes;bout de jb réserve 15 ans;0;20000;V;60000
redLab75;red label 0.75 L;0;5742;V;35000
glenB12L;glenfiddich 12 ans un litre;0;35000;V;80000

ÉNERGÉTIQUE
xxl;xxl 33cl;0;400;V;2000
power;black power ;0;0;V;2000
atomic;atomic 33cl;0;0;V;2000
redBull;red bull 33cl;0;623;V;2000
rox;rox 33cl;0;486;V;2000
speedEnergy;speed energy;0;312;V;2000
blackColaEnergy;black cola Energy drink;0;0;V;2000

ARTICLES COMPOSÉS
CODE;DÉSIGNATION;;PV;COMPOSITION

BOISSONCHAUDE
theCitron;thé lipton au citron;V;1500;lipton;1
thé;un thé avec lipton;V;1000;lipton;1
théTGV;thé spécial TGV;V;2500;sGinger1L;0,1

COCKTAIL
akpakpa;cocktail akpakpa;V;3500;kamel;0,12;sucreCan;0,04;speedEnergy;0,5
amour;cocktail Amour;V;4000;stJamesR;0,05
dapaong;cocktail dapaong;V;4000;stJamesB;0,05;stJamesR;0,05;sirop1L;0,1;tripleSec;0,07
elom;cocktail elom;V;4000;cremAlsM;0,07;sucreCan;0,07
ganhi;cocktail ganhi;V;4000;stJamesB;0,05;sucreCan;0,07
haieVive;cocktail haie vive;V;4000;tripleSec;0,07;grdMarnier;0,07;orangeSec;0,07
malibuOrange;cocktail malibu avec du jus;V;3000;jus1L;0,2;malibu;0,07
mojitoClassic;cocktail mojito classic;V;4000;sucreCan;0,04;kamel;0,1;spriteP;0,11
mojitoParf;cocktail de mojito parfumé;V;4000;sucreCan;0,04;kamel;0,1;spriteP;0,11
mojitoVierge;mojito sans alcool;V;3000;sucreCan;0,04;spriteP;0,2
pinkMiami;1 cocktail pinkmiami;V;2500;jus1L;0,05;sirop1L;0,15
planB;coctail plan B;V;6000;stoli;0,07;agavita;0,07;gordons;0,07;absenta;0,07;kamel;0,07
planteur;cocktail planteur;V;2500;sirop1L;0,2;jus1L;0,05
punchCaraib;cocktail punch caraibénne;V;3000;jus1L;0,2;sirop1L;0,1
quartierJac;cocktail quartier Jac;V;3000;agavita;0,07;sirop1L;0,14
sexAple;cocktail sex apple;V;2500;jus1L;0,25
stadeAmitie;cocktail stade d'amitié;V;4000;gordons;0,07;stoli;0,07;malibu;0,07;sirop1L;0,05
tgv1;cocktail tgv1;V;4000;agavita;0,07;gordons;0,07;stoli;0,07
tgv2;cocktail tgv2;V;4000;agavita;0,07;get27;0,06;stoli;0,08
tgv3;tequila, grenatdine, vodka;V;4000;stoli;0,07;sirop1L;0,03;agavita;0,07
tgvNA;cocktail TGV non alcoolisé;V;3000;sTamarin;0,5;sGinger1L;0,05
tgvRoyal;cocktail tgv royal;V;8000;cremAlsM;0,07;stoli;0,07
toiMoi;cocktail toi et moi;V;4000;stRemyVSOP;0,07;sirop1L;0,1;sGinger1L;0,05
tropical;cocktal NA tropical;V;3000;jus1L;0,2
tvg1;cocktail tgv1;V;4000;pachuca;0,07;gordons;0,07;stoli;0,07

CONSO
absentaC;1 conso de absenta;V;3000;absenta;0,07
agavitaC;conso de bout agavita;V;3000;agavita;0,07
baileysC;1 conso de baileys;V;3000;baileys;0,07
blackLabC;conso black label 0.7L;V;4000;blackLab;0,08
campariC;1/16 de campari 1L;V;4000;campari;0,06
champagneV;une coupe de champagne;V;10000;lagaBrutRes;0,2
chivas12-1C;conso chivas12 1L;V;4000;chivas12-1;0,06
chivas12C;conso chivas12 0.7L;V;4000;chivas12;0,08
gingerC;un verre de gingembre dilué;V;1000;sGinger1L;0,05
gingerShort;une short de gingmbre;V;500;sGinger1L;0,05
glenB12C;conso glenfiddich 12 ans ;V;6000;glenB12L;0,08
gordonsC;1 conso de gordons;V;4000;gordons;0,08
grdMarnierC;conso grand marnier;V;5000;grdMarnier;0,2
hennessyVSC;1 conso hennessy vs;V;5000;hennessyVS;0,11
